Model,Actual ESI 1 Patients,Correctly Identified,Missed ESI 1 Patients,ESI 1 Recall
Logistic Regression (Week 6),10,7,3,0.7
Decision Tree (Week 6),10,3,7,0.3
Random Forest (Week 7),10,0,10,0.0
XGBoost (Week 7),10,2,8,0.2
LightGBM (Week 7),10,1,9,0.1
