Model,Actual ESI 1 Patients,Correctly Identified,Missed ESI 1 Patients,ESI 1 Recall
Logistic Regression (Week 6),15,11,4,0.733
Decision Tree (Week 6),15,8,7,0.533
Random Forest (Week 7),15,5,10,0.333
