,0
cc_ankleinjury,0.0508183285600302
cc_eyepain,0.05089226710390651
cc_extremitylaceration,0.051459347195929164
cc_toepain,0.05152469903625838
cc_wristpain,0.05216670995922099
cc_armpain,0.05240973395153498
cc_cough,0.052864608658671375
cc_eyeproblem,0.05297936099594934
cc_skinproblem,0.05300038048855806
cc_other,0.05341088544025919
cc_footinjury,0.053424785631878226
cc_coldlikesymptoms,0.05547221288693826
cc_fingerinjury,0.057415420380194204
cc_fingerpain,0.059292096393653494
cc_neckpain,0.06056489496208123
cc_skinirritation,0.062305915194043764
cc_woundcheck,0.0649290493508725
cc_legpain,0.06575380144479238
cc_insectbite,0.06816722663038068
cc_anklepain,0.0726163705003006
cc_handpain,0.0748661107344008
cc_abscess,0.07562235095674656
cc_laceration,0.07573345724574952
cc_shoulderpain,0.07767243745198583
cc_medicationrefill,0.08953124530321774
cc_earpain,0.0926569911914391
cc_motorvehiclecrash,0.0953350120323168
cc_footpain,0.09874898468243298
cc_suture/stapleremoval,0.10457684382436709
cc_sorethroat,0.10833502710674113
cc_kneepain,0.11569011902703859
cc_dentalpain,0.12672046653537336
cc_rash,0.13369762452826522
cc_backpain,0.14214009446402737
